SentenceID,Sentence,UncertTotal,NumTurkers,Final
221,So it is indeed possible the air has warmed but the ocean has not.,9,9,1.0
3441,The Royal Australian Air Force has placed a tentative order for 100 of the F-35 JSFs for about $16 billion,4,7,0.571428571429
715,You know what - we were possibly over there at the same time,7,7,1.0
5145,Be prepared to be stopped for motoring offences by disgruntled coppers for the next 10 or so years........Make a formal complaint.,3,7,0.428571428571
6447,* Reverse Citizen's United" and put elections back in the hands ofThe People.",0,8,0.0
4560,It is prohibited in Germany now.,7,7,1.0
229,Willis says some of this water is apparently coming from a recent increase in the melting rate of glaciers in Greenland and Antarctica.,7,7,1.0
164,Only six percent of posters will read that entire article.,0,7,0.0
4186,We went up with 16/1 and they bit our hands off,0,8,0.0
223,That becomes clear when you consider what's happening to global sea level.,7,9,0.777777777778
6713,We had made the news,0,7,0.0
5650,I have an issue with this because we were still picking her up closer to 5 and somehow everyone else had the ability to change her diaper around 4:30.,2,7,0.285714285714
1069,Thankfully the silent majority are overwhelmingly in favour of this plan and the opposition are a minute fringe pressure group way out of touch with most of the population.,2,7,0.285714285714
3204,If anyone saw the first fight it was amazing seeing marquez get knocked down to the floor in the opening round 3 times,4,7,0.571428571429
6353,The defence says virtually nothing.,1,7,0.142857142857
55,No amount of justification that there was good reasons to believe can only be summed up with the Rubbaiyya of Omar Khayyam,6,7,0.857142857143
5222,Instead the girl was made to cook,8,8,1.0
6295,from bbc.. http://news.bbc.co.uk/2/hi/europe/7947824.stm ).,6,6,1.0
5611,He seeks pledges from approximately 40,7,8,0.875
2312,I could feel them work my legs but they said this happens.,2,7,0.285714285714
4647,I don't think the school is doing itself any favours by not communicating with parents straight away.,8,8,1.0
53,The most unfortunate part is that there is low credibility ever since no WMD could be found inspite of all the search!,4,6,0.666666666667
2391,All that remained left was to add gravity and a theory of everything" could be contemplated.",9,9,1.0
2419,(I do not recall this and deny it!),6,8,0.75
4970,That's the mindset that people volunteering as 'safe person' or 'security' need to have.,0,7,0.0
31,There is so much wrong and you don't seem to understand what's wrong.,0,7,0.0
6595,I suppose you can call anything a bubble if you like..and point to things to support your point.,7,7,1.0
597,The slave trade in Africa began long,1,7,0.142857142857
1289,It would be better if we refocused our illegal immigration efforts off the poor immigrants and onto the rich assholes who pay them under the table so they won't have to pay an American a fair wage.,2,7,0.285714285714
1201,I think it was partially anxiety and partially because she was still in potty-training...her breed is known to be difficult and she's extremely attached to me.,1,7,0.142857142857
50,They would not be fighting if they had the standard of living that europe and america have.,3,9,0.333333333333
7177,Africans and the like would be better served with sterilization/food clinics rather than these religious recruitment/anti birth control/food for Christ propaganda missions that they've been fed the past 40 years.,3,7,0.428571428571
6386,The fight" was a result of Zimmerman PURPOSEFULLY CONFRONTING MARTIN WITH HIS PREJUDICE IDEALS....IDEALS RECORDED ON THE 911 TAPE.",1,6,0.166666666667
238,Salomon Klass is perhaps the most notable,0,8,0.0
3032,HUCKABEE: I would love to know more - what I know is troubling enough.,2,9,0.222222222222
80,I can't believe I was stupid enough to buy all the tripe about what Iraq could become if we just remove the dictator.,5,7,0.714285714286
7082,My father has undiagnosed Learning Difficulties" and anger issues (he attacked me frequently as a child and broke my arm on one occasion).",9,9,1.0
3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,1,7,0.142857142857
5760,If you don't like the idea of being sent to a foreign land where people want to kill you,6,7,0.857142857143
4040,I just needed the courage to ask for his help as he is very 'old sch'.,0,7,0.0
3237,He stated that Al Sharpton a self made man from the streets like me" was joining.....at which time co-host Greg Kelly interjected (twice) that like Al Sharpton",0,6,0.0
1714,I will email a couple of people and get back to you ASAP.,5,7,0.714285714286
4123,You guys are occupying the wrong places.,7,7,1.0
47,I mean 40% of the world is living under $2 a day.,6,7,0.857142857143
2222,I don't blame them for that fact,1,7,0.142857142857
43,ie there are some that have less than average.,3,7,0.428571428571
5809,this is in my opinion really bad bullying!!!,3,8,0.375
2672,then that individual must pay for the added individual premium coverage for those desired programs.,0,7,0.0
1443,he's even gone so far as to kiss the scars from my gall bladder removal operation.,5,6,0.833333333333
3556,There's something about it - New Hampshire seems to vote for somebody other than who won in Iowa.,1,9,0.111111111111
7734,They didn't appear so noble to us then.,3,6,0.5
2606,The right-wing neocon whackjobs on this board only care about the small percentage that seemingly cause trouble.,2,7,0.285714285714
1338,But they have new truck every year,1,7,0.142857142857
141,I will remember the phrase,0,8,0.0
7146,I have no ability to concentrate on work,0,9,0.0
7120,I have been looking at the different flowers available and I am really unsure what sort of thing is appropriate from a granddaughter.,0,8,0.0
8191,The point is this: Sarah Palin made a stink about the Mosque that is two blocks away from Ground Zero due to the fact that it was close to (as we all know) the site of the twin towers that were destroyed by fanatical muslim terrorists.,1,9,0.111111111111
7787,I think it's quite sad that there's such a huge wedding industry" these days and most people seem to feel the ONLY way to get married is to have a massively expensive party for dozens of people.",7,8,0.875
785,Addictions and sexual abuse run high.,1,7,0.142857142857
1286,And they insisted on right to work" laws that busted up the unions.",0,7,0.0
5832,While Congress is technically not funding abortions,1,6,0.166666666667
5578,You judge him from just a few of the ones you want to frame his entire life.,5,7,0.714285714286
1975,I currently have maybe $18K US.,0,7,0.0
2572,Your husband's friend was right.. he does need to Man up"... he needs to "man up" and take responisibilty for his family.",0,7,0.0
519,Bring back the kitten.,0,6,0.0
1367,It's good reading the same events in all their books...you hear a different perspective each time.,0,7,0.0
3136,I would be more concerned with his short term intentions to be honest,4,7,0.571428571429
1685,So then there's the discussion of vouchers (putting aside that my peer group of affluent professionals is unlikely to qualify for need-based vouchers and will likely be deciding between suburban public schools or paying for private school).,6,7,0.857142857143
517,It's kind of hard to keep your stories straight though...,7,7,1.0
1246,Then he turned around and signed a nearly $1 trillion un-stimulating succubus package and an omnibus bill with 1,2,7,0.285714285714
7543,Newt Gingrich's Second Wife Dishes Hard To Esquire: His Money Woes,1,8,0.125
4954,Insurance is the only financial product I can think of where you have to tell the company about changes to your circumstances (and then only things that are material to the policy and their underwriting decision).,6,7,0.857142857143
516,I thought you said in another thread that you weren't voting in the GOP Primaries...,7,7,1.0
