SentenceID,HedgeWord,Sentence,Final,Agreement
241,could,"He could never have weathered a cross-examination if he had taken the stand in his own defense.",0.0,0.6
12282,understand,"I understand its potency.",0.0,0.8
10168,some,"Our current tax code is the product of some social engineering",0.0,0.6
23611,could,"We could move to 9 trillion dollars in debt being unpatriotic",1.0,0.8
2977,find,"Pursue a Balanced Budget AmendmentNice find Oltz",0.0,1.0
13952,sort of,"Because the government likes to create a sort of panic and it just so happens to be againsnt people of a different race talking from the point of view of a black teenager myself its hard to shake that stereotype More black role models",0.0,0.8
25138,find,"I find it hypocritical of Miliband to slate the coalition yet its his own parties wrong doing that led to the mess in the first place.",1.0,1.0
16521,some,"I'm certain i've missed some of the stuff in this program",0.0,0.8
12034,some,"Just wanted to add some female support to your posts Just because a majority think it's ok to use",0.0,1.0
30930,most,"And now their most horrific terrorist attack/act of ideological violence for decades comes from a Christian Crusader",0.0,0.8
6148,much,"With CO2 levels as much as 20 times higher than today",1.0,0.6
19150,someone,"If someone was smart",0.0,0.6
21673,read,"Still not many people on here have actually read the Treaty cover to cover..(i have) and it doesnt resemble the constitution at all",0.0,0.8
10009,know,"Anyone who is a true follower of christ knows you give personally and from your own heart... not having it raped from you whether you have the calling to give it or notAnd in a country based on freedom... you have the freedom to be a miserly prick too",0.0,0.6
23608,I mean,"I mean look at Barry and his pals.",1.0,1.0
16815,most,"Jackie Battley and Newt Gingrich Marriage Profile -- Marriage of Newt Gingrich and Jackie BattleyThe most notorious incident in Gingrich's marriage... was when he cornered Jackie in her hospital room where she was recovering from uterine cancer surgery and insisted on discussing the terms of the divorce he was seeking.",0.0,1.0
27701,might,"Kid's Company might be a very worthwhile contact!",1.0,0.8
6770,could,"A single napalm raid on IANSA headquarters could save us a lot of grief in the long run.",0.0,0.6
28311,know,"I know if western countries help Somalia it's not going to be out of good will and such",1.0,0.8
23673,a little,"Now all those poor people are a little more poor.",1.0,1.0
9994,much,"I would much rather have the Clinton UE of 3.9% where you could throw out a resume and get a better paying job in a month that you barely qualified for than the 6.3% UE of Bush where you couldn't get a job you totally qualified for because you were competing against 40 other guys who were just as qualifed.",0.0,1.0
16859,could,"I had high hopes that Perry would be the guy who could bridge the divide between the TEA Party and the GOP establishment.",0.0,0.6
30136,most,"they have the resources and the people to pull their plans off behind the scenes as they control most of the media...",0.0,0.6
22888,feel,"I feel quite good now but I know that can change in seconds.",0.0,1.0
15586,know,"What Obama is saying is this: we'll give real trials only to those detainees we know in advance we will convict.",1.0,0.6
20661,could,"The way gravity (ADG) works could be completely different",1.0,1.0
23285,some,"And that is what some of you were.",0.0,0.6
19980,know,"No one knows exactly when",0.0,0.6
18527,believe,"They believe it is a form of OCD.",1.0,0.6
23638,someone,"See someone like you is for making a law banning all Abortions.",0.0,0.6
21306,some,"Not sure if I care at all myself but I did want to see some opinions/discussions of the people here.",0.0,0.6
11775,most,"No country on earth relies on public charities to handle all their public welfareThey are actually the most efficient",0.0,1.0
17251,really,"I am really quite surprised he gave the Bush administration any credit at all.",0.0,0.6
11290,some,"If you are paying some guy minimum wage to sweep your floors",0.0,0.6
27760,most,"Out of all the religions honour killings are by far most prevalant in muslims families - the vast majority",0.0,0.6
10315,know,"I know this might be hard for you to grasp",1.0,0.6
7254,know,"The school know he has this obviously and told the CDC he 'was fine' at school so the doc was really rude and said that I needed to do what the school was doing.",0.0,1.0
31411,someone,"Only an idiot calls someone else an idiot.",1.0,0.6
30014,much,"He's as much a Progressive as Mitt Romney or Jesus Christ.",1.0,0.6
18451,some,"It was new years and me and some friends were at the bar",0.0,0.6
31484,believe,"They mistakenly believe some of the swill they were spoon-fed in government schools.",0.0,0.8
17026,someone,"I can see mebbe clarifying when someone becomes a public figure for purposes of libel and slander law -- but even that is a stretch",1.0,0.6
23776,know,"I guess it's just important I know where I stand.",0.0,0.6
13161,could,"Perhaps someone could post that.",1.0,0.6
16982,know,"Hi OPI am very lucky I know as I have a group of very close girlfriends who I know I am going to carry through life with me - they range from my oldest best friend from school",0.0,0.6
22700,know,"I dont know how much they cost to run",1.0,0.8
18563,sometimes,"I'm not a racist but I feel like we're being completely taken over sometimes and I think we're pushovers.",0.0,0.6
28518,feel,"At least we make ourselves feel better and not affected by those insecure girls who wear tonnes of make up.",0.0,0.6
9550,much,"real large I agree.--The US used to have the 'sliding scale' tax system.The more you earned the more you paid.Everything worked much better that way.--Nowadays courtesy of the republican party",0.0,0.8
27040,could,"They could care less what happens to the country or the future generations of Americans...as long as they win.",0.0,0.8
5434,really,"Although I guess in a way pleased for them too but really upset for myself.",0.0,1.0
13729,much,"Inter-racial dating doesn't happen very much at all.",1.0,0.8
27434,some,"I'm certain i've missed some of the stuff in this program",1.0,0.8
21646,really,"I really need to know what the Coroner wants in that witness statement and how as a family member I am allowed to present it.",0.0,0.6
28480,really,"I have always been really insecure but then recently I've felt grateful.",0.0,1.0
30092,really,"I dread caring for really huge patients as it's just impossible to do.",0.0,0.8
25728,believe,"Although they say they believe that some financing for the groups comes from abroad",1.0,0.8
25428,much,"Not much will be able to be taxed",1.0,0.8
14337,find,"I can pull up the many compliments and words of support I've been offering you but I don't think I'll find anything mean or nasty.",0.0,0.6
6039,much,"I'm not having much success with it.",1.0,0.8
13707,some,"This whole speech by Cameron is simply an effort to gain some short term support for the elections.",1.0,0.6
19969,really,"I'm never really in a situation where it gets to that.",1.0,1.0
1396,know,"As far as I know",0.0,0.8
30984,some,"I concentrated some peoples attention",1.0,0.6
5211,know,"And the only way this plan will bomb out is if it causes the pain that we know it's going to causeAnother typical liberal response.",1.0,0.6
8635,some,"For some reason you remind me of Dennis Leary (Video has a few F-bombs if your at work)STFU - Dennis Leary - YouTube STFU - Dennis Leary - YouTube Yea it does seem that most in the OWS Movement want to blame everyone but themselves for their own mistakes.",0.0,0.6
15961,believe,"because they believe the rhetoric.",0.0,0.8
21702,read,"I have not read his father waited 12 hours to call the police in any case.",1.0,1.0
17287,I mean,"I expected you to insult me once you finally understood what I mean",0.0,0.8
22451,understand,"As I understand it",1.0,0.8
24129,much,"I used to cry before going on a shift as i was in so much pain",0.0,0.8
23334,know,"Let me know if you think I'm way offIf you think I'm crazy to think that we could safely do what I've described",0.0,0.8
24363,read,"People who read the latest scientific papers.",1.0,0.6
25152,believe,"I'm by no means a fan of the coalition or any of the parties in the UK but I believe that the coalition have done the right thing by addressing the absurd levels of money being wasted in the public sector.",1.0,0.8
22696,could,"You could nationalise BP or Vodafone",1.0,0.8
14072,find,"I'd like you to provide some material about the benefits of anthropogenic (or not) global warming or endorse any you can find among the +10",0.0,1.0
25972,really,"If they really were that against mass immigration",1.0,0.8
4986,know,"I personally think it's completely necessary but I know many of my opponents will disagree.",1.0,0.8
17233,know,"I know a few people with PTSD.",0.0,0.8
12868,much,"And yet it was barely reported - the BBC is alleged to have deliberately refrained from covering it that much to avoid stoking racial tensions.",1.0,0.6
19005,know,"I know your momma raised you better than this.",1.0,1.0
22388,know,"i know its wiki",1.0,0.6
19328,imagine,"I can't imagine trying to get some with two kids.",0.0,0.8
9086,could,"As much as I wish we could say we are the sole parents of our kids",0.0,1.0
13327,fair,"Fox at least pretends with the fair balanced line for the moron tea baggers.",0.0,0.8
22748,could,"Oh this ROCKS I didn't know I could see it like this",0.0,0.6
22032,know,"I do not know what is ethical about war.",1.0,0.6
28870,I would say,"#NAME?",0.0,0.6
29293,I mean,"I mean - my immediate gut reaction: act your age",1.0,1.0
15105,read,"I get so angry every time I read any post you write about your husband.",0.0,0.8
7979,really,"It does sound like a really horrible situation!",0.0,1.0
8642,most,"And i think most Americans are now seeing them that way too.",1.0,0.6
22925,know,"before 911 -most every vet I know never saw a day of combat in their lives.",0.0,1.0
14685,could,"But the unconditional surrender we had demanded came only when they saw clearly that we could completely destroy them.",0.0,1.0
20349,could,"There was no sense in any of the evidence I have heard that any other explanation for illness other than physical causes could be allowed.",1.0,1.0
11112,know,"The day before some chavvy looking bloke comes out of a store as I was walking past and nods his head at me like we know each other",0.0,1.0
11976,could,"Or you could ask to talk to her for a minute - but that could be awkward.",1.0,0.6
9077,kind of,"He kind of looked at me as if I was a simpleton and said something that expressed the notion that business and ethics were not bed partners.",1.0,0.8
12816,could,"You could get less than nothing for your $5000+ worth of solar panels especially if the $5000 makes your house the most expensive in the neighborhood.",1.0,0.8
11820,really,"I don't think Beck really cares right now if this happens and that he may be one of the primary reasons it does.",1.0,0.8
9676,some,"MCcain followed the orders he was given by his commanders and I don't think you will find too many democrats that will support a position of our soliders being some type of thugs.",0.0,0.6
25904,could,"They also knew they could do next to nothing to prevent it",1.0,0.6
14061,could,"Our president says that the USA could absorb another such attack.",0.0,0.6
28210,could,"I could be wrong",1.0,1.0
10290,find,"Don't have any history on whether or not the SCOTUS would find it unconstitutional if a Repug won...33.",1.0,1.0
13631,might,"Mexico might want to lower it's flag to half mast.",0.0,1.0
12589,really,"I've really been looking forward to today's match",0.0,0.6
30396,could,"I suppose we could propose organized rutting sessions for them in local nightclubs and bars to help them boost their numbers so they don't go the way of the dodo.",1.0,0.6
25853,could,"And I could only dream of the pay and benifits a union welder gets.",0.0,0.8
1939,know,"They didn't have guns for kids when I was a kid that I know of.",1.0,0.6
27574,really,"I really dont think theres two meanings of the word honor.",1.0,1.0
26198,could,"Political developments in the next 48 hours could determine the fate of his four-month-old coalition government.",1.0,1.0
17111,could,"He could have forced more stringent safety measures.",0.0,0.6
29138,find,"From the letter asking him to resign:We find your actions highly disconcerting.",1.0,1.0
15242,could,"Or we could poke sharp sticks in our eyes.",0.0,0.6
15774,understand,"I can understand why some aid was turned down.",0.0,1.0
17222,feel,"Well cannabis makes me feel better.",0.0,0.8
29305,basic,"That is the basic problem that needs to find a cure.",1.0,0.6
9386,read,"From what I've read Plame was the best unkept secret in DC.",1.0,1.0
1204,much,"Regardless how much money they pump into the system",1.0,0.8
7257,really,"Last week a different teacher came in for the day in and they kept him back for 15 minutes to make him finish a piece of colouring in he had not done as 'he made her really cross as he would not finish it'.",0.0,0.8
26296,find,"To know a person's religion we need not listen to his profession of faith but must find his brand of intolerance.",1.0,0.6
13232,most,"The organization opposes some of the most accepted practices in health care",0.0,0.8
12949,someone,"Mine was a response to something someone had said that was inaccurate.",0.0,0.8
5958,could,"my brother has joint parental responsibility and has been having frquent access to his son but his mother phones 2 or 3 times while he has his son so he politely said to her dont phone while he is with me as it is my time with him..she then started sending abusive text to him...when she came to pick there son up she started shouting and threatening my brother in front of neighbours and there son he stayed calm...then the mothers new boyfriend started threatening my brother saying your going to die im going to kill you and burn your house down then turned to my brothers 3 year old son and said say good bye to daddy as it is the last time you are going to see him...police have been called......she says she is going to move miles away with there son and her new boyfriend what can my brother do can he stop it....also if she just up and goes with there son what can my brother do....also can he have a say in the amount of times she has moved and moved his school....and could he have a good chance of getting full custody of there son as she has done credit card frauding",1.0,0.8
31286,general,"Purchasing power of the general public is going to rise",1.0,1.0
24699,read,"Quote:As I read it",1.0,0.6
22220,most,"It isn't even covered by news outlets for the most part.",1.0,0.8
23550,find,"I can't find the words.",0.0,0.8
9635,most,"The second was the same sort of thing when he imprudently forced the impeachment of President Clinton on grounds that most of us didn't think rose the the level of high crimes and misdemeanors.",1.0,1.0
21676,much,"The commision has representatives from every country and Barroso himself doesnt hold much power anyway but i do think there should be a more democratic system in place for that",0.0,0.6
1503,some,"Then do some honest research and see when all this crap started (hint: 8 years of GW Bush).",0.0,0.8
22151,some,"dole in some fashion.",1.0,0.6
21930,most,"In the most part",0.0,0.8
18532,really,"I have always had pets and I really think they are a vital part of my mental health but I can't even imagine what would lead someone to this.",1.0,0.8
21692,most,"Where was Trayvons Father when Trayvon needed him the most less than 1000 feet away.",0.0,1.0
17843,know,"every bum I know has told me they had their discharge upgraded and they get VA benefits.",0.0,0.6
23653,most,"you seriously have to be one of the most stupidest fucks ever to walk this earth.",0.0,0.8
11903,some,"I'm not saying that some Dem's aren't insane either",0.0,0.6
31168,could,"I said no to SIL as I dont think I could cope having her in my ear all the time and this would divide the family but She's been nagging me and wearing me down and now I'm half and half.",0.0,0.8
11112,some,"The day before some chavvy looking bloke comes out of a store as I was walking past and nods his head at me like we know each other",0.0,0.8
11978,know,"It might be easier to tell her that you like her when aren't at uni (but I'm sure she'd know anyway if you ask her out).",0.0,0.6
31484,some,"They mistakenly believe some of the swill they were spoon-fed in government schools.",1.0,0.6
15176,most,"And most Americans don't realize they are brainwashed through Fox and Rush and Drudge.",1.0,0.6
12419,know,"Attachment 17189We already know that you are retarded.",0.0,0.6
25743,know,"In terms of air superiority....we know where you are before you know where we areNot really...and our satellite program is going by the wayside because Obama cut funding for our Space program.",0.0,1.0
11698,some,"Giving someone some old unwanted can of creamed corn rusting in the back of the pantry hardly competes with really giving someone a chance.",0.0,0.6
5313,read,"Anybody that has read his postings on the various forums/messages boards can attest to that.",0.0,0.6
1935,most,"I am sure most people will think I am crazy.",1.0,0.6
28500,know,"I didnt know what to say.",1.0,1.0
8031,and the rest,"Back in the real world I've just about washed my hands of H Sapiens in regard to not cooking themselves and the rest of the biome.",0.0,0.8
8173,believe,"the US is a secular society and not everyone believe in or follow religion.",0.0,0.6
27370,someone,"I would have been happy if someone smacked that lady.",1.0,0.6
751,much,"Even if he does love you as much as you believe he does",0.0,0.6
23697,read,"I seriously doubt millions of people read Andrew Breibart's blog.",0.0,0.8
6494,know,"I know a lot of people in the trades",0.0,0.6
28384,know,"Don't know what a peep is though.",1.0,0.8
23283,some,"It is difficult for some to understand why Paul would condemn both the active and passive partners in male homosexual activity in 1 Corinthians 6: 9-10 but then in 1 Timothy 1: 9-10 he would only condemn the active partner",1.0,0.8
24094,some,"-JoeSingle Universal HC would bring some reductions to the cost of HC insurance premiums as 25% of all HC rpremiums are spent on administrative costs.",1.0,0.8
4180,might,"but this is wise IMO because if you start with a full dose the side effects might not be tolerable.",1.0,1.0
23849,some,"That's like saying I don't have to pay income tax if I want to starve in some cave.",0.0,0.8
12040,know,"I don't know whether it used to be considered wrong to use retarded in the way we use it now.",1.0,0.6
16524,most,"Maybe your first developmental memories would be biased depending on whether you're inside with your parents 24 hours a day or outside with them most of the day in the sun.",1.0,0.8
29501,kind of,"We haven't heard that kind of talk except from pure socialists.",0.0,0.6
5429,much,"however much you might look at your daughter objectively and see that she has a good life",1.0,0.6
14415,some,"Now you have some time to think about how you deal with the subject when she opens the present on Christmas DayI remember being given hair curlers and make-up at at young age by an aunt (young enough that I was still playing with 'baby' dolls) and it was made clear it was not appropriate.",0.0,1.0
7195,really,"(Or use it as an excuse not to speak to you again)I really hope you can get things sorted.",0.0,0.8
11256,could,"Generally the pack meeting was after the cubs had gone home...planning what we were doing for the next 6 weeks etc and that didnt really bother me because I was already there and we could get alot planned/look at resources from our cub board/ask the kids what badges if any they would like to work towards.",0.0,0.8
10478,some,"I think there should be some anti-bullying days in schools when the kids are told and shown that it's evil to bully others.",0.0,1.0
10490,might,"So I thought my Blairite friends in Downing Street and elsewhere might enjoy the benefit of my experience:1.",1.0,0.8
8284,know,"Answers.com - Can the vice president and president come from the same stateanswers.com is a poor sourceat least for a definitive answerI don't know if he wants to be a senator.",1.0,0.8
11452,read,"I was 12 when Watergate occurred and am not well read on the events.",0.0,0.6
25739,know,"We are talking about situational awareness type of intellegence as it relates to knowing where your enemy is and him knowing where you areWhat I do know is that todays cutting edge",0.0,1.0
2833,could,"One has to have a certain sympathy for our tonyhe could nto have said I go on and on a la Thatcherso he says he will not stand for a fourth term",0.0,0.6
25046,some,"some just want America to fail.",1.0,0.8
19868,read,"Having read through the stuff we were given when she started everything states that there is a healthy food guide in place.",0.0,0.8
27197,much,"It's much more believable these were things that happened because governments or the CIA or something else official had lost control over the elements of Operation Gladio that they initially created.",0.0,0.8
20141,some,"I'd like to see some cites on this as well",0.0,0.6
16218,read,"But I read a newspaper article shortly after that and was apauled at descriptions of our side stringing captured Viet Cong together by running barbed wire through their cheeks.",0.0,0.6
27631,feel,"Yet the media that deemed it appropriate for the question to be asked did not feel the public warranted knowing his answer.",1.0,0.6
7278,read,"I've read so many threads on here about having trouble with schools and some people just come on to upset the OP",1.0,0.8
21963,someone,"It would shatter even more seeing someone type suck it up.",1.0,0.6
11781,much,"Some charities spend as much as 90% just in fundraising expensesThe truth is that charities are the least efficient.",0.0,0.6
21174,feel,"His attorney certainly feels that Ray will get off.",1.0,1.0
24385,some,"Like some of these attacks from the following link.",1.0,0.8
5300,believe,"I believe him.",0.0,1.0
25947,know,"We all know that.",1.0,0.8
12668,some,"I got some sweet quotes from Megyn KellyThis stinks to high heaven",0.0,0.8
19418,imagine,"Just imagine off of the countries making their own fuel in the world.",0.0,0.8
13668,much,"I don't care how much 'wild sex' anyone has.... as long as I don't pay for facilitating it or the consequences of it.",0.0,0.6
14752,understand,"With respect to your specific suggestion that (as I understand it) evangelical voters most aroused by the social issues of abortion and homosexual marriage may be less committed in an election focused more on economic and public spending issue - much depends on the degree to which they are aroused by the economic and public spending issues themselves and the degree to which they may find themselves reconciled to Democrats who take opposite views on both social and public spending issues.",1.0,0.6
13545,a little,"tea party corporate sponsors - Google SearchWell that was a little more effort than linking to the google home page",1.0,1.0
32319,know,"You know I love you and Nimh and appreciate you both.",0.0,0.6
3157,could,"I can't understand how anyone could be so lacking in common sense as to believe that Newt Gingrich could ever be elected president.",1.0,0.6
2626,know,"We know who you are...",0.0,0.8
11956,kind of,"and before you even start... there are a hell of a lot of people out there that will never be anything more than a menial labor kind of worker.",0.0,1.0
8601,know,"Anyone form that other place knows I was going bonkers.",0.0,1.0
24105,know,"To know a person's religion we need not listen to his profession of faith but must find his brand of intolerance.",0.0,0.8
11115,know,"I say I dont know and then he proceeds to ask me personal questions.",0.0,0.6
2101,really,"But when you start saying they are superior to others..you get into some really dodgy terroritory.",0.0,0.8
11783,know,"Anyone who is a true follower of christ knows you give personally and from your own heart... not having it raped from you whether you have the calling to give it or notAnd in a country based on freedom... you have the freedom to be a miserly prick too",1.0,0.6
25288,feel,"At first the shoes do feel a little strange and the reflexology bar can feel quite pronounced",0.0,1.0
8670,know,"I didn't know there were Jewish Neo-Nazis.",0.0,1.0
19596,much,"Inter-racial dating doesn't happen very much at all.",1.0,0.8
23243,a little,"And here is a little reminder of their ambitions for the future based on their past glorious history...http://upload.wikimedia.org/wikipedi..._empire_en.pngRegarding Israel",1.0,0.6
25249,most,"Decisions of the most horrific choices are caused by tyrannical governments and leaders that force men and women of good will to make such choices.",0.0,0.8
19956,really,"it really is that simple.",1.0,1.0
7767,understand,"I understand though at what he was getting at",0.0,0.8
27110,really,"Poor people have really sucky lobbyists.",0.0,1.0
14744,some,"Perhaps some Alien in the form of Elvis has an opinion about Ethics and The A-Bomb that Curvey would like to share!",0.0,0.6
13838,some,"Drugs in this country are robbing us of some of the most brilliant and talented people.",1.0,0.6
14560,really,"I was really close with one friend who was in similar circumstances to me (we both had young kids at the time)we were often at eachothers houses and had such a laugh!",0.0,0.8
28861,most,"The person most responsible for success or failure",0.0,1.0
7186,some,"Besides--sterotypes all have some general truths in them or they wouldn't exist.",1.0,0.6
7209,some,"I have some good friends that ride with the Patriot Guard Riders.",0.0,0.8
27851,much,"Your argument falls flat on its face when you look at American intervention elsewhere and realize that they intervened much more abroad than in the Middle East.",0.0,0.8
22111,someone,"She'd bum from me or someone else until she'd eventually cave in and buy some more for herself.",1.0,0.6
9618,could,"Katherine Jackson told the L.A. Times that the relationship between AEG and Michael Jackson created a legal duty for AEG to treat him safely and not put him in harms way. She claims AEG breached this duty when contracting with Murray who was only interested in making sure Michael Jackson could perform.",0.0,1.0
12055,some,"dole in some fashion.",0.0,0.6
6856,read,"The last I read",1.0,0.8
13513,find,"Actually I think you'll find a slim majority do pay it off on time.",1.0,0.6
24469,much,"You don't go after banks corporations too much in a bad recession.",1.0,0.6
4520,possible,"correct becuase we are seeing how unions protect those with the least acceptable work etyhic at the expense of those with the best possible work ethic You applaud every time the jobs go overseas.... because it's their right to do that.",0.0,0.8
5495,most,"The Earth receives most of its direct heat from the visible and near- infrared spectrum of sunlight",1.0,0.6
27360,could,"Many of the poorer farmers could not afford to grow food crops due to a combination of high tax on these goods and low prices fixed by British policy.",0.0,0.8
7292,some,"That he can somehow find some way to justify it to himself concerns me not in the least",0.0,0.8
10366,some,"There is some question as to whetherprotesters or the Gov.",0.0,0.6
7566,feel,"You probably feel like there is no other way to deal with what you're feeling right now",1.0,0.6
27136,some,"That way you can choose the right shoe as some shoes benefit one type of gait tendency over the other.",1.0,0.6
19645,some,"However I took the time recently to scale some sasquatch to various sized and when I brought up a 12 ft sasquatch next to a 5'9 man it became clear to me that anything that big would be cutting a pretty wide swath through its environment.",0.0,0.8
6741,much,"SO much so that I hear they all ride together in the same car when going to their various events.",0.0,1.0
31485,someone,"I ask about your schooling and job because I need to know if I'm actually dealing with someone who has the capability enough to use his brain to hold a job or achieve some sort of degree.",1.0,0.6
24085,most,"Red meat and overeating among the most prevelant.",1.0,0.6
5471,someone,"They had no intention of taking care of someone who had so many medical needs.",0.0,1.0
782,much,"Voting for a man with so much muslm blood on his hands",0.0,0.8
27116,some,"If you are paying some guy minimum wage to sweep your floors",0.0,0.6
26799,some,"Theres also some bio processes where H2S is reacted in bio filters",0.0,0.6
13494,fair,"TLDR: Essentially people who knowingly abuse there body should no longer divert NHS budget from those suffering from ailments beyond there control as it just isn't sustainable and is not fair and gives no incentive to look after your health.",0.0,1.0
22876,know,"I know it's going to be a long hard slog but I am grateful to my mum for preparing us for the inevitable.",1.0,1.0
28361,really,"You really have to wonder why those measurements came about.",1.0,1.0
21321,know,"You know me Jill....",0.0,0.8
14730,basic,"You're one of many who lack basic knowledge about the end of WW2.",1.0,0.8
6177,could,"By the same not my wife would happily not be in the union given the option amd she would negotiate to have the same contract as the union but instead of paying dues that she has no control over to an entity we do no agree with most of the causes they support the school could keep that $248 a month.",0.0,0.6
11017,my thinking,"Forgive me if my thinking is over-simplistic; that guns lead to murders.",1.0,0.6
16247,read,"I have read of how ingenius the Vietnamese were with their traps and putting bombs on little children and the like.",1.0,0.6
12075,read,"It reads as if you are being condenscending.",0.0,0.6
23822,might,"There might even have been official rape charges to contend with",1.0,0.8
16830,someone,"Newt Gingrich: The 5 juiciest details from his ex-wife - The WeekIf you really want to base your vote on spiting someone who told you the truth",0.0,0.8
21936,much,"Segregation only limits how much people can learn from each other and therefore prevents people from increasing their knowledge and bettering themselves.",1.0,0.6
12909,they said,"Members of the South Africa Project were trying to draw attention to what they said is black-on-white violence in that country.",1.0,0.8
12929,know,"Another one who decided to deabte something he knows nothing about.",0.0,0.8
4182,could,"it so happens i could tolerate the ones i was prescribed",0.0,0.8
25810,general,"Here are some quick links to get you started in any research you care to undertake:http://www.webmd.com/sleep-disorders/sleep-paralysishttp://en.wikipedia.org/wiki/Sleep_Paralysishttp://en.wikipedia.org/wiki/Hypnagogic_hallucinationshttp://watarts.uwaterloo.ca/~acheyne/S_P.htmlNOTE: I've relied on wikipedia's entries for the general wording of some of my descriptions of these conditions or phenomena",1.0,1.0
13124,really,"I don't think Beck really cares right now if this happens and that he may be one of the primary reasons it does.",1.0,1.0
28192,could,"It's nice to imagine that the grass roots could fund a candidate with contributions of $5 and $10 but this isn't going to happen in this race and especially not so if Huckabee can't attract more than 50% of the rank and file.",0.0,0.6
30051,might,"I meant here that we would be telling future young people about the new peace protests and might be accused similarly.",1.0,1.0
4654,much,"They are much closer to the population of 1890 than of 2012....",1.0,0.8
17915,know,"EVERYBODY knows what the problem is.",0.0,0.6
20969,really,"That's really why you believe in it.",1.0,0.8
19876,might,"I think I might phone the education dept to find their stance on the issue as the school are very rigid on it.",1.0,0.8
12685,possible,"It is possible that even present levels of greenhouse gases maintained for long periods may lead to dangerous climate change...",0.0,0.8
7931,basic,"The basic issues here are trust",1.0,0.8
21650,know,"He/she will know what is admissible and what is not",0.0,0.6
19973,could,"[..]YouGov pollster Peter Kellner [..] said the contrast with former Prime Minister Margaret Thatcher's husband Denis could not be more stark.",1.0,0.6
1064,understand,"I can understand the use of them in war despite Bush's abuse of that.",0.0,1.0
22438,some,"Next time i need to shop for some tools",0.0,0.6
16517,much,"I don't really remember much of this bit",1.0,1.0
10304,much,"We have been hand fed so much scare tactic crap up to this point that this seems another attempt at Hey",0.0,0.6
28916,some,"To force a church to go against its beliefs just so some poor fool can have sex without danger of getting a girl pregnant makes so little sense I can't believe people here are even defending it.",1.0,0.8
29118,believe,"I believe both of the above statements are true.",0.0,0.6
1829,sort of,"The INC forced it's creation because they would not negotiate any sort of settlement to appease the fears of the Muslims.",0.0,1.0
21586,look like,"Instead they have calculated that if they look like they care about others",1.0,0.8
20652,possible,"INTRODUCTIONIt should be possible to measure whether our understanding of CENTRAL gravity is correct.",1.0,0.6
11263,sort of,"I was sort of conned into it when i was asked if i would help out for an hour on a Friday night at the meetings.",1.0,0.8
14525,believe,"Scientists believe the Great Dismal Swamp was created when the Continental shelf made its last big shift.",1.0,0.8
29972,feel,"He feels that Bachmann is his choice for President.",1.0,1.0
12146,understand,"Let me see if I understand your point of view.",0.0,0.8
15859,could,"He could not be both irrelevant and the problem.",1.0,0.8
28343,most,"For those conservative muslims in the west; Im sure most of you shake the hands of the opposite sex if presented.",1.0,0.6
6076,know,"We can eliminate a lot of G-noise We will know how much mass we have We will know that the mass is homogeneous.",0.0,0.7
13646,someone,"And they definitely shouldn't be forcing anyone to pay for someone else's Contraception & Abortions.",1.0,0.6
12067,hear,"I hear cuba is looking for a few good communists.",1.0,0.8
