SentenceID,Sentence,HedgeWord,Hedge,NotHedge,Final,Agreement
0,I guess this is what you wanted me to respond to.,guess,9,1,0.9,0.9
652,I don't expect that movement to end any time soon.,expect,1,9,0.1,0.9
4,I imagine people will do whatever they want,imagine,9,1,0.9,0.9
509,'Smart' anything is a bit of a reach for him.,a bit,10,0,1.0,1.0
31,There is so much wrong and you don't seem to understand what's wrong.,understand,9,19,0.321428571429,0.678571428571
287,You seem to feel that for these people and I wish you luck.,feel,3,7,0.3,0.7
653,I'm fairly conservative (fiscally anyway) but I can have a rational conversation with someone who has polar opposite views.,fairly,10,0,1.0,1.0
751,If I" bang it up and make it look like trash then that's on me.",look like,5,5,0.5,0.5
221,So it is indeed possible the air has warmed but the ocean has not.,possible,5,5,0.5,0.5
2524,It now seems certain to me that within the next decade the U.K and U.S.A among others will be involved in a fully fledged war against Iran.,among others,10,0,1.0,1.0
715,You know what - we were possibly over there at the same time,possibly,10,0,1.0,1.0
1327,In the future farming will become an endeavor of the highly educated (not necessarily degrees,necessarily,7,2,0.777777777778,0.777777777778
3136,I would be more concerned with his short term intentions to be honest,to be honest,9,1,0.9,0.9
1951,The best estimate of the annual death toll among Americans of working age due to lack of insurance or under-insurance is at least 20,estimate,9,1,0.9,0.9
229,Willis says some of this water is apparently coming from a recent increase in the melting rate of glaciers in Greenland and Antarctica.,apparently,10,0,1.0,1.0
164,Only six percent of posters will read that entire article.,read,2,8,0.2,0.8
223,That becomes clear when you consider what's happening to global sea level.,consider,1,9,0.1,0.9
97,The current round of talks were significant for several reasons,several,10,0,1.0,1.0
13,Houses could constructed using autmation as well,could,7,3,0.7,0.7
12,They may even innovate and make better products for our society,may,10,0,1.0,1.0
15,You should look into Jacque Fresco.,should,2,8,0.2,0.8
55,No amount of justification that there was good reasons to believe can only be summed up with the Rubbaiyya of Omar Khayyam,believe,6,4,0.6,0.6
5611,He seeks pledges from approximately 40,approximately,10,0,1.0,1.0
2495,i'm somewhat more interested in boycotting bp and forcing fund managers to divest all bp stock than i am in prosecuting the bp ceo,somewhat,5,5,0.5,0.5
53,The most unfortunate part is that there is low credibility ever since no WMD could be found inspite of all the search!,most,0,10,0.0,1.0
52,I mean 40% of the world is living under $2 a day.,I mean,8,2,0.8,0.8
3962,There is no reason to assume Syria might not become the next flash-point in the Middle East,assume,10,0,1.0,1.0
4012,I guess that's the most probable future.,probable,10,0,1.0,1.0
2419,(I do not recall this and deny it!),recall,1,9,0.1,0.9
408,Now the Space-shuttle program is going tits up thanks to him so we're pretty much out of the space business.,pretty much,10,0,1.0,1.0
1975,I currently have maybe $18K US.,maybe,10,0,1.0,1.0
135,But I'm not sure the professor knew what 'intellectual' means.,sure,9,1,0.9,0.9
156,Moving on...'What is Limbaugh's or Beck's 'intent' when they take some innocuous comment uttered by someone in the Obama administration,someone,6,4,0.6,0.6
2312,I could feel them work my legs but they said this happens.,they said,3,7,0.3,0.7
1201,I think it was partially anxiety and partially because she was still in potty-training...her breed is known to be difficult and she's extremely attached to me.,partially,9,0,1.0,1.0
3601,That's about the limit of my understanding of this crazy,my understanding,1,9,0.1,0.9
272,I think it is fair to say that the closer a culture is to the 'one time only,fair,0,10,0.0,1.0
238,Salomon Klass is perhaps the most notable,perhaps,7,3,0.7,0.7
657,(Yes heteros sometimes abuse their children) After a while he finds out that his new wife is a lesbian and does not love him.,sometimes,7,3,0.7,0.7
80,I can't believe I was stupid enough to buy all the tripe about what Iraq could become if we just remove the dictator.,about,0,10,0.0,1.0
230,'But in fact there's a little bit of a mystery.,a little,10,0,1.0,1.0
87,I can't believe I was stupid enough to buy all the tripe about what Iraq could become if we just remove the dictator.,about,0,10,0.0,1.0
233,If you read the whole article he doesn't sound like he knows if he is coming or going but that sounds about right.,knows,7,3,0.7,0.7
1325,All you've done is copied what I've said because my thinking was sharper,my thinking,0,10,0.0,1.0
3556,There's something about it - New Hampshire seems to vote for somebody other than who won in Iowa.,somebody,5,5,0.5,0.5
1714,I will email a couple of people and get back to you ASAP.,a couple,9,1,0.9,0.9
47,I mean 40% of the world is living under $2 a day.,I mean,8,2,0.8,0.8
43,ie there are some that have less than average.,some,7,3,0.7,0.7
40,They may even innovate and make better products for our society,may,10,0,1.0,1.0
956,To suggest that blacks are not poor due to external factors leaves black disproportionate poverty to be the result of internal factors,suggest,9,0,1.0,1.0
1569,Debt SlaveryHere's what class warfare looks like!,looks like,8,2,0.8,0.8
1443,he's even gone so far as to kiss the scars from my gall bladder removal operation.,so far,7,2,0.777777777778,0.777777777778
4285,The visit was so rough that after she left I called home to let my dad know to never send her to me for that long again without my permission,rough,3,7,0.3,0.7
3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,occasionally,9,1,0.9,0.9
2606,The right-wing neocon whackjobs on this board only care about the small percentage that seemingly cause trouble.,seemingly,8,2,0.8,0.8
141,I will remember the phrase,remember,2,8,0.2,0.8
611,There are a great many very fertile grounds for speculative research on why the Europeans started largely in last place 1500 years ago,largely,10,0,1.0,1.0
8751,Africans and the like would be better served with sterilization/food clinics rather than these religious recruitment/anti birth control/food for Christ propaganda missions that they've been fed the past 40 years.,the like,9,1,0.9,0.9
307,No-one is disputing that foreigners work very hard; indeed they often show that they are hard workers.,often,10,0,1.0,1.0
77,Do that a few times and these 'people' might start to behave better.,a few,9,1,0.9,0.9
2165,This was designed by Axelrod and the rest runningthe President's campaign.,and the rest,3,7,0.3,0.7
108,The current round of talks was also important because this will probably be the last meeting in which Dai will participate as special envoy on the border talks ahead of the Chinese leadership change,probably,8,2,0.8,0.8
1468,I think it was partially anxiety and partially because she was still in potty-training...her breed is known to be difficult and she's extremely attached to me.,partially,9,0,1.0,1.0
481,I don't spend my days surfing for news bytes to find something to bitch about.,find,2,8,0.2,0.8
372,A bad economy and fewer jobs WILL almost certainly cause more crime and strife.,almost,8,2,0.8,0.8
3423,This is totally Unacceptable!,totally,1,9,0.1,0.9
32,There is so much wrong and you don't seem to understand what's wrong.,understand,1,9,0.1,0.9
1049,I am 25 and I am worried then if I ever move out they will be completely lost!,completely,0,9,0.0,1.0
30,Those people are a bunch of crackpots.,a bunch,5,5,0.5,0.5
820,I suggested the basic economics in it seemed some people didn't understand the basic cost/supply relationship - and many people in their thoughtful wish to help others less fortunate only correlate higher salary = more spending power without looking at the downstream impacts (or lack thereof).,basic,2,8,0.2,0.8
1537,We fight all the time - but seldom really fuss.,seldom,10,0,1.0,1.0
1367,It's good reading the same events in all their books...you hear a different perspective each time.,hear,4,5,0.444444444444,0.555555555556
809,I agree that people in Aboriginal communities need to help themselves if they are going to have a decent standard of living and helping themselves usually involves leaving the dust bowls where they live for somewhere where there is economic opportunity.,somewhere,6,4,0.6,0.6
1685,So then there's the discussion of vouchers (putting aside that my peer group of affluent professionals is unlikely to qualify for need-based vouchers and will likely be deciding between suburban public schools or paying for private school).,unlikely,10,0,1.0,1.0
1246,Then he turned around and signed a nearly $1 trillion un-stimulating succubus package and an omnibus bill with 1,nearly,9,0,1.0,1.0
649,But there's a significant segment of the most recent wave of Internet truther trolls that appears to be more motivated by direct sympathy for the same Islamic fundamentalist Jihadist ideals (which after cutting through the centuries-old political and religious smokescreens basically come down to 'stop giving human rights to women or we lose all hope of getting laid') that motivated the 9/11 attacks in the first place.,basically,10,0,1.0,1.0
1688,This study from the Economic Policy Institute found that public schools in Milwaukee generally saw no improvement from the competition introduced by vouchers.,generally,10,0,1.0,1.0
