SentenceID,Sentence,HedgeWord,Hedge,NotHedge,Final,Agreement
53,The most unfortunate part is that there is low credibility ever since no WMD could be found inspite of all the search!,most,0,5,0.0,1.0
52,I mean 40% of the world is living under $2 a day.,I mean,4,1,0.8,0.8
3962,There is no reason to assume Syria might not become the next flash-point in the Middle East,assume,5,0,1.0,1.0
4012,I guess that's the most probable future.,probable,5,0,1.0,1.0
2419,(I do not recall this and deny it!),recall,0,5,0.0,1.0
408,Now the Space-shuttle program is going tits up thanks to him so we're pretty much out of the space business.,pretty much,5,0,1.0,1.0
1975,I currently have maybe $18K US.,maybe,5,0,1.0,1.0
135,But I'm not sure the professor knew what 'intellectual' means.,sure,4,1,0.8,0.8
156,Moving on...'What is Limbaugh's or Beck's 'intent' when they take some innocuous comment uttered by someone in the Obama administration,someone,3,2,0.6,0.6
2312,I could feel them work my legs but they said this happens.,they said,1,4,0.2,0.8
1201,I think it was partially anxiety and partially because she was still in potty-training...her breed is known to be difficult and she's extremely attached to me.,partially,5,0,1.0,1.0
3601,That's about the limit of my understanding of this crazy,my understanding,0,5,0.0,1.0
272,I think it is fair to say that the closer a culture is to the 'one time only,fair,0,5,0.0,1.0
238,Salomon Klass is perhaps the most notable,perhaps,3,2,0.6,0.6
657,(Yes heteros sometimes abuse their children) After a while he finds out that his new wife is a lesbian and does not love him.,sometimes,4,1,0.8,0.8
80,I can't believe I was stupid enough to buy all the tripe about what Iraq could become if we just remove the dictator.,about,0,5,0.0,1.0
230,'But in fact there's a little bit of a mystery.,a little,5,0,1.0,1.0
87,I can't believe I was stupid enough to buy all the tripe about what Iraq could become if we just remove the dictator.,about,0,5,0.0,1.0
233,If you read the whole article he doesn't sound like he knows if he is coming or going but that sounds about right.,knows,4,1,0.8,0.8
1325,All you've done is copied what I've said because my thinking was sharper,my thinking,0,5,0.0,1.0
3556,There's something about it - New Hampshire seems to vote for somebody other than who won in Iowa.,somebody,2,3,0.4,0.6
1714,I will email a couple of people and get back to you ASAP.,a couple,4,1,0.8,0.8
47,I mean 40% of the world is living under $2 a day.,I mean,4,1,0.8,0.8
43,ie there are some that have less than average.,some,3,2,0.6,0.6
40,They may even innovate and make better products for our society,may,5,0,1.0,1.0
956,To suggest that blacks are not poor due to external factors leaves black disproportionate poverty to be the result of internal factors,suggest,5,0,1.0,1.0
1569,Debt SlaveryHere's what class warfare looks like!,looks like,4,1,0.8,0.8
1443,he's even gone so far as to kiss the scars from my gall bladder removal operation.,so far,4,1,0.8,0.8
4285,The visit was so rough that after she left I called home to let my dad know to never send her to me for that long again without my permission,rough,1,4,0.2,0.8
3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,occasionally,5,0,1.0,1.0
2606,The right-wing neocon whackjobs on this board only care about the small percentage that seemingly cause trouble.,seemingly,4,1,0.8,0.8
141,I will remember the phrase,remember,1,4,0.2,0.8
611,There are a great many very fertile grounds for speculative research on why the Europeans started largely in last place 1500 years ago,largely,5,0,1.0,1.0
8751,Africans and the like would be better served with sterilization/food clinics rather than these religious recruitment/anti birth control/food for Christ propaganda missions that they've been fed the past 40 years.,the like,4,1,0.8,0.8
307,No-one is disputing that foreigners work very hard; indeed they often show that they are hard workers.,often,5,0,1.0,1.0
77,Do that a few times and these 'people' might start to behave better.,a few,5,0,1.0,1.0
2165,This was designed by Axelrod and the rest runningthe President's campaign.,and the rest,2,3,0.4,0.6
108,The current round of talks was also important because this will probably be the last meeting in which Dai will participate as special envoy on the border talks ahead of the Chinese leadership change,probably,4,1,0.8,0.8
1468,I think it was partially anxiety and partially because she was still in potty-training...her breed is known to be difficult and she's extremely attached to me.,partially,5,0,1.0,1.0
481,I don't spend my days surfing for news bytes to find something to bitch about.,find,0,5,0.0,1.0
372,A bad economy and fewer jobs WILL almost certainly cause more crime and strife.,almost,4,1,0.8,0.8
3423,This is totally Unacceptable!,totally,1,4,0.2,0.8
32,There is so much wrong and you don't seem to understand what's wrong.,understand,0,5,0.0,1.0
1049,I am 25 and I am worried then if I ever move out they will be completely lost!,completely,0,5,0.0,1.0
30,Those people are a bunch of crackpots.,a bunch,4,1,0.8,0.8
820,I suggested the basic economics in it seemed some people didn't understand the basic cost/supply relationship - and many people in their thoughtful wish to help others less fortunate only correlate higher salary = more spending power without looking at the downstream impacts (or lack thereof).,basic,0,5,0.0,1.0
1537,We fight all the time - but seldom really fuss.,seldom,5,0,1.0,1.0
1367,It's good reading the same events in all their books...you hear a different perspective each time.,hear,2,3,0.4,0.6
809,I agree that people in Aboriginal communities need to help themselves if they are going to have a decent standard of living and helping themselves usually involves leaving the dust bowls where they live for somewhere where there is economic opportunity.,somewhere,4,1,0.8,0.8
1685,So then there's the discussion of vouchers (putting aside that my peer group of affluent professionals is unlikely to qualify for need-based vouchers and will likely be deciding between suburban public schools or paying for private school).,unlikely,5,0,1.0,1.0
1246,Then he turned around and signed a nearly $1 trillion un-stimulating succubus package and an omnibus bill with 1,nearly,5,0,1.0,1.0
649,But there's a significant segment of the most recent wave of Internet truther trolls that appears to be more motivated by direct sympathy for the same Islamic fundamentalist Jihadist ideals (which after cutting through the centuries-old political and religious smokescreens basically come down to 'stop giving human rights to women or we lose all hope of getting laid') that motivated the 9/11 attacks in the first place.,basically,5,0,1.0,1.0
1688,This study from the Economic Policy Institute found that public schools in Milwaukee generally saw no improvement from the competition introduced by vouchers.,generally,5,0,1.0,1.0
