SentenceID,Sentence,HedgeWord,Final,Agreement
30,Those people are a bunch of crackpots.,a bunch,1.0,1.0
1537,We fight all the time - but seldom really fuss.,seldom,1.0,1.0
1246,Then he turned around and signed a nearly $1 trillion un-stimulating succubus package and an omnibus bill with 1,nearly,1.0,1.0
2165,This was designed by Axelrod and the rest runningthe President's campaign.,and the rest,0.738095238095,0.738095238095
626,I've read so many 9/11 conspiracy theorist threads I'm practically an expert.,practically,1.0,1.0
66,It might ramble at times.,might,1.0,1.0
257,Even though I would have supported the Russians against the Germans in general and especially with the German attack on Stalingrad; if I were to have crossed into Finland I probably would have ended up supporting some of the German regiments which were fighting alongside Finish units against Soviet aggression toward Finland.,general,1.0,1.0
1082,All you've done is copied what I've said because my thinking was sharper,my thinking,0.0,1.0
288,One of my favorite books is a book of poetry from Chinese women ('The Orchid boat')- who were mostly concubines or otherwise matriarchal society.,mostly,1.0,1.0
156,Moving on...'What is Limbaugh's or Beck's 'intent' when they take some innocuous comment uttered by someone in the Obama administration,someone,0.916666666667,0.916666666667
1735,Perhaps you should realize that the main problem is it sounds like you are attacking Americans and blaming the entire problem of global warming on us and that we are the ones responsible for fixing it.,sounds like,1.0,1.0
1502,A few thoughts in perusing the fallout here:1) Fox-- I feel sort of responsible for you feeling as though you had to defend my statements-- of course,sort of,1.0,1.0
657,(Yes heteros sometimes abuse their children) After a while he finds out that his new wife is a lesbian and does not love him.,sometimes,0.357142857143,0.642857142857
652,I don't expect that movement to end any time soon.,expect,0.119047619048,0.880952380952
653,I'm fairly conservative (fiscally anyway) but I can have a rational conversation with someone who has polar opposite views.,fairly,1.0,1.0
509,'Smart' anything is a bit of a reach for him.,a bit,1.0,1.0
1468,I think it was partially anxiety and partially because she was still in potty-training...her breed is known to be difficult and she's extremely attached to me.,partially,1.0,1.0
751,If I" bang it up and make it look like trash then that's on me.",look like,0.119047619048,0.880952380952
221,So it is indeed possible the air has warmed but the ocean has not.,possible,0.5,0.5
229,Willis says some of this water is apparently coming from a recent increase in the melting rate of glaciers in Greenland and Antarctica.,apparently,1.0,1.0
164,Only six percent of posters will read that entire article.,read,0.0,1.0
223,That becomes clear when you consider what's happening to global sea level.,consider,0.0,1.0
97,The current round of talks were significant for several reasons,several,1.0,1.0
13,Houses could constructed using autmation as well,could,0.738095238095,0.738095238095
12,They may even innovate and make better products for our society,may,1.0,1.0
15,You should look into Jacque Fresco.,should,0.0,1.0
3962,There is no reason to assume Syria might not become the next flash-point in the Middle East,assume,1.0,1.0
1975,I currently have maybe $18K US.,maybe,1.0,1.0
1163,The protest may pressure Prime Minister Abhisit Vejjajiva to hasten plans to amend the constitution as a reconciliation panel gets ready to propose changes next month.,propose,0.821428571429,0.821428571429
1201,I think it was partially anxiety and partially because she was still in potty-training...her breed is known to be difficult and she's extremely attached to me.,partially,1.0,1.0
3601,That's about the limit of my understanding of this crazy,my understanding,0.0,1.0
238,Salomon Klass is perhaps the most notable,perhaps,1.0,1.0
230,'But in fact there's a little bit of a mystery.,a little,1.0,1.0
233,If you read the whole article he doesn't sound like he knows if he is coming or going but that sounds about right.,knows,0.0833333333333,0.916666666667
47,I mean 40% of the world is living under $2 a day.,I mean,1.0,1.0
43,ie there are some that have less than average.,some,0.916666666667,0.916666666667
40,They may even innovate and make better products for our society,may,1.0,1.0
956,To suggest that blacks are not poor due to external factors leaves black disproportionate poverty to be the result of internal factors,suggest,1.0,1.0
1569,Debt SlaveryHere's what class warfare looks like!,looks like,1.0,1.0
1443,he's even gone so far as to kiss the scars from my gall bladder removal operation.,so far,1.0,1.0
3303,So the other armed forces than USA occasionally commit human rights abuses of various degrees,occasionally,1.0,1.0
141,I will remember the phrase,remember,0.0,1.0
611,There are a great many very fertile grounds for speculative research on why the Europeans started largely in last place 1500 years ago,largely,1.0,1.0
77,Do that a few times and these 'people' might start to behave better.,a few,1.0,1.0
649,But there's a significant segment of the most recent wave of Internet truther trolls that appears to be more motivated by direct sympathy for the same Islamic fundamentalist Jihadist ideals (which after cutting through the centuries-old political and religious smokescreens basically come down to 'stop giving human rights to women or we lose all hope of getting laid') that motivated the 9/11 attacks in the first place.,basically,1.0,1.0
481,I don't spend my days surfing for news bytes to find something to bitch about.,find,0.0,1.0
3423,This is totally Unacceptable!,totally,0.0,1.0
4012,I guess that's the most probable future.,probable,1.0,1.0
1049,I am 25 and I am worried then if I ever move out they will be completely lost!,completely,0.0,1.0
4285,The visit was so rough that after she left I called home to let my dad know to never send her to me for that long again without my permission,rough,0.0,1.0
1367,It's good reading the same events in all their books...you hear a different perspective each time.,hear,0.5,0.5
809,I agree that people in Aboriginal communities need to help themselves if they are going to have a decent standard of living and helping themselves usually involves leaving the dust bowls where they live for somewhere where there is economic opportunity.,somewhere,0.357142857143,0.642857142857
1685,So then there's the discussion of vouchers (putting aside that my peer group of affluent professionals is unlikely to qualify for need-based vouchers and will likely be deciding between suburban public schools or paying for private school).,unlikely,1.0,1.0
1688,This study from the Economic Policy Institute found that public schools in Milwaukee generally saw no improvement from the competition introduced by vouchers.,generally,1.0,1.0
